sale_id,time_id,product_id,customer_id,salesperson_id,quantity,unit_price,discount,total_amount
1,45,447,296,46,2,1025.76,0.027,1996.13
2,916,409,234,30,7,4542.97,0.184,25949.44
3,927,47,1026,33,5,3781.35,0.173,15635.88
4,2,282,358,50,3,2433.35,0.14,6278.04
5,29,361,281,27,3,1584.58,0.05,4516.05
6,934,173,1873,50,6,2916.72,0.166,14595.27
7,980,19,413,33,7,1147.21,0.098,7243.48
8,369,118,691,28,10,1333.36,0.126,11653.57
9,963,361,396,20,7,1584.58,0.075,10260.16
10,712,366,1695,44,2,2987.99,0.127,5217.03
11,277,449,1073,17,2,2196.2,0.081,4036.62
12,259,491,1163,19,5,4850.08,0.139,20879.59
13,134,362,1366,8,6,2683.96,0.091,14638.32
14,550,163,466,4,8,470.57,0.065,3519.86
15,690,176,1850,9,1,4495.63,0.174,3713.39
16,970,28,702,33,2,863.98,0.146,1475.68
17,707,291,1975,29,8,916.83,0.127,6403.14
18,326,417,1161,11,6,2704.51,0.17,13468.46
19,46,100,671,20,9,3298.32,0.08,27310.09
20,479,130,261,13,7,351.92,0.165,2056.97
21,139,223,580,48,8,3081.42,0.054,23320.19
22,904,310,1701,10,5,3594.6,0.068,16750.84
23,221,140,359,41,10,663.08,0.026,6458.4
24,346,260,1452,28,8,3831.41,0.158,25808.38
25,1096,258,57,37,1,2255.85,0.009,2235.55
26,904,35,1012,48,8,1346.03,0.003,10735.94
27,862,315,1303,27,3,999.67,0.088,2735.1
28,250,241,1197,28,1,2882.6,0.198,2311.85
29,487,86,1220,3,7,613.81,0.04,4124.8
30,1050,326,1326,8,3,536.64,0.176,1326.57
31,586,164,61,22,5,4148.45,0.032,20078.5
32,572,350,873,42,5,3562.09,0.019,17472.05
33,876,98,339,40,6,3925.25,0.05,22373.92
34,202,413,856,41,6,4606.75,0.133,23964.31
35,809,147,1013,11,3,4666.96,0.01,13860.87
36,350,97,424,19,5,2885.3,0.145,12334.66
37,440,384,1368,26,4,4057.6,0.086,14834.59
38,721,28,769,37,2,863.98,0.141,1484.32
39,238,259,679,41,1,4200.92,0.043,4020.28
40,834,154,1733,4,2,4659.46,0.027,9067.31
41,70,183,1756,13,4,4408.27,0.104,15799.24
42,1089,230,164,45,8,2371.2,0.002,18931.66
43,689,52,663,22,6,2650.28,0.163,13309.71
44,499,445,1945,27,7,3116.94,0.139,18785.8
45,787,318,89,22,8,3864.68,0.014,30484.6
46,1025,2,1925,50,7,2729.26,0.018,18760.93
47,645,193,1313,36,2,1122.39,0.021,2197.64
48,889,314,210,2,6,1989.31,0.176,9835.15
49,504,400,217,13,3,2973.12,0.077,8232.57
50,812,170,703,25,3,385.47,0.128,1008.39
51,254,356,1243,38,3,1725.35,0.014,5103.59
52,515,299,189,44,10,1128.87,0.002,11266.12
53,969,46,335,2,3,2552.54,0.088,6983.75
54,1049,117,829,42,4,1901.08,0.126,6646.18
55,702,380,1624,29,3,579.29,0.184,1418.1
56,1026,188,750,50,10,804.4,0.137,6941.97
57,720,349,1386,3,4,3456.14,0.017,13589.54
58,300,465,1209,37,2,4321.49,0.028,8400.98
59,333,296,1265,23,2,1268.83,0.118,2238.22
60,403,325,93,31,7,4249.38,0.07,27663.46
61,453,242,1803,30,7,3484.81,0.063,22856.87
62,739,74,151,1,3,437.41,0.05,1246.62
63,283,468,709,8,2,1343.19,0.05,2552.06
64,23,333,1827,14,10,2183.52,0.12,19214.98
65,1068,366,866,9,10,2987.99,0.057,28176.75
66,643,312,833,22,1,2897.64,0.17,2405.04
67,807,371,320,41,5,237.12,0.041,1136.99
68,592,324,176,3,10,3241.24,0.102,29106.34
69,608,272,1245,48,7,1953.49,0.059,12867.64
70,792,461,1028,49,1,4901.42,0.157,4131.9
71,794,111,1734,30,4,498.56,0.099,1796.81
72,115,393,822,8,2,3052.06,0.048,5811.12
73,1070,299,1763,32,10,1128.87,0.014,11130.66
74,9,235,517,42,1,3367.25,0.197,2703.9
75,509,36,575,36,6,4566.55,0.026,26686.92
76,787,228,187,1,10,2330.29,0.084,21345.46
77,122,471,1586,40,9,4994.52,0.137,38792.44
78,214,344,668,27,8,3508.91,0.191,22709.67
79,62,364,760,42,2,3695.64,0.003,7369.11
80,1041,73,208,5,2,4391.27,0.003,8756.19
81,1091,78,301,32,4,833.98,0.008,3309.23
82,374,411,688,42,1,3965.22,0.19,3211.83
83,272,369,69,27,7,1518.32,0.101,9554.79
84,937,424,1406,50,9,4997.87,0.153,38098.76
85,895,379,700,46,7,1269.87,0.14,7644.62
86,1042,360,252,35,2,612.07,0.128,1067.45
87,675,369,666,30,9,1518.32,0.123,11984.1
88,546,429,262,30,5,915.63,0.017,4500.32
89,323,476,735,37,2,4349.31,0.102,7811.36
90,510,97,170,33,4,2885.3,0.195,9290.67
91,961,437,1433,50,3,4069.69,0.107,10902.7
92,711,226,350,1,7,2155.14,0.117,13320.92
93,94,101,979,12,2,2123.66,0.062,3983.99
94,535,307,1534,11,7,2330.52,0.146,13931.85
